COMECANDO LOG DA INSTÂNCIA 1.txt
Requisicao 59 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 60 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 61 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 62 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 63 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 64 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 65 | Sensor Sensor(6) | 1 caminhos testados | Selecionado: [Sensor(6), FogNode(3)]
Requisicao 66 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 67 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 68 | Sensor Sensor(8) | 1 caminhos testados | Selecionado: [Sensor(8), FogNode(5)]
Requisicao 69 | Sensor Sensor(1) | 1 caminhos testados | Selecionado: [Sensor(1), FogNode(0)]
Requisicao 70 | Sensor Sensor(6) | 1 caminhos testados | Selecionado: [Sensor(6), FogNode(3)]
Requisicao 71 | Sensor Sensor(13) | 1 caminhos testados | Selecionado: [Sensor(13), FogNode(7)]
Requisicao 72 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 73 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 74 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 75 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 76 | Sensor Sensor(1) | 1 caminhos testados | Selecionado: [Sensor(1), FogNode(0)]
Requisicao 77 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 78 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 79 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 80 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 81 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 82 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 83 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 84 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 85 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 86 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 87 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 88 | Sensor Sensor(4) | 1 caminhos testados | Selecionado: [Sensor(4), FogNode(3)]
Requisicao 89 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 90 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 91 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 92 | Sensor Sensor(4) | 1 caminhos testados | Selecionado: [Sensor(4), FogNode(3)]
